account,link,token,stem,amount_balance,bdv_balance
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,0,1,0
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-12104,4872575,4872575
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,3105,134560000,134560000
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16204,1391156,1391156
0x01914d6e47657d6a7893f84fc84660dc5aec08b6,"<a href=""https://etherscan.io/address/0x01914d6e47657d6a7893f84fc84660dc5aec08b6"" target=""_blank"" >0x01914d6e47657d6a7893f84fc84660dc5aec08b6</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,3099,5775393,5775393
0x02009370ff755704e9acbd96042c1ab832d6067e,"<a href=""https://etherscan.io/address/0x02009370ff755704e9acbd96042c1ab832d6067e"" target=""_blank"" >0x02009370ff755704e9acbd96042c1ab832d6067e</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32996000000,195546243286,68245860001
0x02009370ff755704e9acbd96042c1ab832d6067e,"<a href=""https://etherscan.io/address/0x02009370ff755704e9acbd96042c1ab832d6067e"" target=""_blank"" >0x02009370ff755704e9acbd96042c1ab832d6067e</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16228,4,1
0x02009370ff755704e9acbd96042c1ab832d6067e,"<a href=""https://etherscan.io/address/0x02009370ff755704e9acbd96042c1ab832d6067e"" target=""_blank"" >0x02009370ff755704e9acbd96042c1ab832d6067e</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32468000000,9076484069,3167703203
0x0245934a930544c7046069968eb4339b03addfcf,"<a href=""https://etherscan.io/address/0x0245934a930544c7046069968eb4339b03addfcf"" target=""_blank"" >0x0245934a930544c7046069968eb4339b03addfcf</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-28418,2,1
0x0245934a930544c7046069968eb4339b03addfcf,"<a href=""https://etherscan.io/address/0x0245934a930544c7046069968eb4339b03addfcf"" target=""_blank"" >0x0245934a930544c7046069968eb4339b03addfcf</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,0,1,0
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,18552,151001761,151001761
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-21450,29402372,6595891
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16442,4252394,953947
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16434,25445409,5708218
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32868,4815260153,1614099423
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32884,6017562590,2017117246
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-21816,1388672,311523
0x0255b20571acc2e1708ade387b692360537f9e89,"<a href=""https://etherscan.io/address/0x0255b20571acc2e1708ade387b692360537f9e89"" target=""_blank"" >0x0255b20571acc2e1708ade387b692360537f9e89</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,1159477165,260107784
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,14718,3176729876,3176729876
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-11192,162863316,162863316
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16182,1480498946,1480498946
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-37269,979787548571,220410318482
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,13473,9356293292,9356293292
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-22760,144632363723,32435387873
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-21172,111957641569,25110245597
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-22118,121222546885,27187744126
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,21326462902,4782679697
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-15540,754266868,754266868
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-12458,143011311,143011311
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33952,1,1
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,0,1,0
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-11420,1734764285,1734764285
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-13818,256185277,256185277
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-16214,13305304594,13305304594
0x028afa72dadb6311107c382cf87504f37f11d482,"<a href=""https://etherscan.io/address/0x028afa72dadb6311107c382cf87504f37f11d482"" target=""_blank"" >0x028afa72dadb6311107c382cf87504f37f11d482</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-9198,9066322,9066322
0x02bfbb25bf8396910378bf3b3ce82c0ce6d5e61d,"<a href=""https://etherscan.io/address/0x02bfbb25bf8396910378bf3b3ce82c0ce6d5e61d"" target=""_blank"" >0x02bfbb25bf8396910378bf3b3ce82c0ce6d5e61d</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,480355,89136
0x02bfbb25bf8396910378bf3b3ce82c0ce6d5e61d,"<a href=""https://etherscan.io/address/0x02bfbb25bf8396910378bf3b3ce82c0ce6d5e61d"" target=""_blank"" >0x02bfbb25bf8396910378bf3b3ce82c0ce6d5e61d</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32740,15800296659,2887795813
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16370,5,2
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-35924000000,9871940682,3447556772
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-35824000000,49602002217,17322401360
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-39188000000,3075412002,1074019569
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-29236000000,45537357617,15902914205
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-35836000000,31529130175,11010850832
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-32948000000,63029475856,22011649318
0x02df7e960ffda6db4030003d1784a7639947d200,"<a href=""https://etherscan.io/address/0x02df7e960ffda6db4030003d1784a7639947d200"" target=""_blank"" >0x02df7e960ffda6db4030003d1784a7639947d200</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-39096000000,3126525369,1091869781
0x04776ef6c70c281e13dedaf50aa8bba75fbeca31,"<a href=""https://etherscan.io/address/0x04776ef6c70c281e13dedaf50aa8bba75fbeca31"" target=""_blank"" >0x04776ef6c70c281e13dedaf50aa8bba75fbeca31</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33392,29665288856,5544997651
0x04776ef6c70c281e13dedaf50aa8bba75fbeca31,"<a href=""https://etherscan.io/address/0x04776ef6c70c281e13dedaf50aa8bba75fbeca31"" target=""_blank"" >0x04776ef6c70c281e13dedaf50aa8bba75fbeca31</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33400,19786649951,3696631447
0x04776ef6c70c281e13dedaf50aa8bba75fbeca31,"<a href=""https://etherscan.io/address/0x04776ef6c70c281e13dedaf50aa8bba75fbeca31"" target=""_blank"" >0x04776ef6c70c281e13dedaf50aa8bba75fbeca31</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,1211092605,224736018
0x04776ef6c70c281e13dedaf50aa8bba75fbeca31,"<a href=""https://etherscan.io/address/0x04776ef6c70c281e13dedaf50aa8bba75fbeca31"" target=""_blank"" >0x04776ef6c70c281e13dedaf50aa8bba75fbeca31</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16340,3701228467,686817295
0x04776ef6c70c281e13dedaf50aa8bba75fbeca31,"<a href=""https://etherscan.io/address/0x04776ef6c70c281e13dedaf50aa8bba75fbeca31"" target=""_blank"" >0x04776ef6c70c281e13dedaf50aa8bba75fbeca31</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16294,2790710648,517857342
0x04776ef6c70c281e13dedaf50aa8bba75fbeca31,"<a href=""https://etherscan.io/address/0x04776ef6c70c281e13dedaf50aa8bba75fbeca31"" target=""_blank"" >0x04776ef6c70c281e13dedaf50aa8bba75fbeca31</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33300,49401765958,9214294178
0x047b22bfe547d29843c825dbcbd9e0168649d631,"<a href=""https://etherscan.io/address/0x047b22bfe547d29843c825dbcbd9e0168649d631"" target=""_blank"" >0x047b22bfe547d29843c825dbcbd9e0168649d631</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,23239991844,700000000,700000000
0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f,"<a href=""https://etherscan.io/address/0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f"" target=""_blank"" >0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f</a>",0x1bea3ccd22f4ebd3d37d731ba31eeca95713716d,-33160,39451725680,9039258464
0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f,"<a href=""https://etherscan.io/address/0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f"" target=""_blank"" >0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-15356,415914045,415914045
0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f,"<a href=""https://etherscan.io/address/0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f"" target=""_blank"" >0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,6778525253,1508824061
0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f,"<a href=""https://etherscan.io/address/0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f"" target=""_blank"" >0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,-6330,50514959,50514959
0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f,"<a href=""https://etherscan.io/address/0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f"" target=""_blank"" >0x04dc1bdcb450ea6734f5001b9cecb0cd09690f4f</a>",0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab,6711,117223012,117223012
0x055c419f4841f6a3153e64a4e174a242a4ffa6f0,"<a href=""https://etherscan.io/address/0x055c419f4841f6a3153e64a4e174a242a4ffa6f0"" target=""_blank"" >0x055c419f4841f6a3153e64a4e174a242a4ffa6f0</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-22132,369243518,68518557
0x055c419f4841f6a3153e64a4e174a242a4ffa6f0,"<a href=""https://etherscan.io/address/0x055c419f4841f6a3153e64a4e174a242a4ffa6f0"" target=""_blank"" >0x055c419f4841f6a3153e64a4e174a242a4ffa6f0</a>",0x1bea0050e63e05fbb5d8ba2f10cf5800b6224449,-16272,98263161,18234172
